,alpha,0.5,,alpha,1.0,,alpha,1.5,,alpha,2.0,,alpha,2.5,,
beta,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,
0.25,Quality,2.0,2.0,Quality,2.0,2.25,Quality,3.0,3.0,Quality,3.0,3.0,Quality,3.0,3.0,
,Price,2.0,2.0,Price,2.0,2.0,Price,2.0,2.0,Price,2.6666666666666665,2.6666666666666665,Price,2.5,2.5,
,Profit,10.7096,15.527199999999999,Profit,16.906399999999998,9.3624,Profit,19.7984,30.282400000000003,Profit,31.898000000000003,27.995600000000003,Profit,25.253000000000004,31.005599999999998,
,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,
,UsedTime,,1.0,UsedTime,,1.0,UsedTime,,1.0,UsedTime,,1.0,UsedTime,,1.0,
,ShareSucceeded,,17.192,ShareSucceeded,,10.911999999999999,ShareSucceeded,,52.52799999999999,ShareSucceeded,,89.944,ShareSucceeded,,57.712,
,ShareFailed,,405.188,ShareFailed,,436.26800000000003,ShareFailed,,131.98000000000002,ShareFailed,,63.888,ShareFailed,,88.04400000000001,
,BorrowingSucceeded,,17.736,BorrowingSucceeded,,11.024000000000001,BorrowingSucceeded,,61.94800000000001,BorrowingSucceeded,,166.284,BorrowingSucceeded,,79.556,
,BorrowingFailed,,0.0,BorrowingFailed,,0.0,BorrowingFailed,,0.0,BorrowingFailed,,1.4559999999999997,BorrowingFailed,,0.12800000000000003,
,TotalUtility,,-18.6498,TotalUtility,,6.6182,TotalUtility,,100.6194,TotalUtility,,131.90822500000002,TotalUtility,,196.147525,
beta,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,
0.5,Quality,2.0,2.0,Quality,2.0,2.0,Quality,3.0,3.0,Quality,3.0,2.6666666666666665,Quality,3.0,NaN,
,Price,2.0,2.0,Price,2.0,2.0,Price,2.0,2.0,Price,3.0,2.3333333333333335,Price,3.0,NaN,
,Profit,15.867600000000001,10.376000000000001,Profit,11.3496,16.933600000000002,Profit,30.006,17.912799999999997,Profit,22.8744,32.681599999999996,Profit,80.2392,0.0,
,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,
,UsedTime,,1.0,UsedTime,,1.0,UsedTime,,1.0,UsedTime,,1.0035852911133811,UsedTime,,1.0026497890295358,
,ShareSucceeded,,13.847999999999999,ShareSucceeded,,5.116,ShareSucceeded,,64.184,ShareSucceeded,,78.27600000000001,ShareSucceeded,,77.452,
,ShareFailed,,408.544,ShareFailed,,437.668,ShareFailed,,117.972,ShareFailed,,75.43599999999999,ShareFailed,,78.432,
,BorrowingSucceeded,,14.040000000000001,BorrowingSucceeded,,5.148,BorrowingSucceeded,,82.13199999999999,BorrowingSucceeded,,174.9,BorrowingSucceeded,,111.228,
,BorrowingFailed,,0.0,BorrowingFailed,,0.0,BorrowingFailed,,0.012,BorrowingFailed,,6.04,BorrowingFailed,,0.23600000000000002,
,TotalUtility,,-16.690499999999997,TotalUtility,,8.8639,TotalUtility,,100.4183,TotalUtility,,122.7481,TotalUtility,,179.43317499999998,
beta,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,
0.75,Quality,1.8333333333333333,2.0,Quality,2.0,2.0,Quality,3.0,3.0,Quality,3.0,3.0,Quality,3.0,3.0,
,Price,2.0,2.0,Price,2.125,2.0,Price,2.0,2.0,Price,2.3333333333333335,2.4446666666666665,Price,2.3333333333333335,2.6,
,Profit,15.244,10.626000000000001,Profit,21.889200000000002,5.272399999999999,Profit,32.849199999999996,8.456,Profit,23.897399999999998,23.047800000000002,Profit,10.7042,43.351600000000005,
,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,
,UsedTime,,1.0,UsedTime,,1.0,UsedTime,,1.2361831548292834,UsedTime,,1.1732282383462014,UsedTime,,1.0445308104347302,
,ShareSucceeded,,33.656,ShareSucceeded,,24.112000000000002,ShareSucceeded,,40.36,ShareSucceeded,,63.608,ShareSucceeded,,57.42000000000001,
,ShareFailed,,385.056,ShareFailed,,406.768,ShareFailed,,139.22,ShareFailed,,95.096,ShareFailed,,87.20400000000001,
,BorrowingSucceeded,,38.288000000000004,BorrowingSucceeded,,25.988,BorrowingSucceeded,,46.34,BorrowingSucceeded,,98.60799999999999,BorrowingSucceeded,,78.924,
,BorrowingFailed,,4.0520000000000005,BorrowingFailed,,0.512,BorrowingFailed,,0.0,BorrowingFailed,,0.164,BorrowingFailed,,0.092,
,TotalUtility,,-14.334825,TotalUtility,,13.3279,TotalUtility,,98.93730000000001,TotalUtility,,141.7344,TotalUtility,,195.0645125,
beta,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,
1.0,Quality,2.0,2.0,Quality,2.0,2.0,Quality,2.3333333333333335,3.0,Quality,3.0,2.75,Quality,3.0,3.0,
,Price,2.0,2.0,Price,2.0,2.0,Price,2.8333333333333335,3.0,Price,3.0,3.0,Price,2.5,2.75,
,Profit,15.814400000000001,11.008,Profit,16.7928,11.315999999999999,Profit,18.7818,12.4878,Profit,25.5576,16.3524,Profit,13.0304,34.7678,
