,alpha,0.5,,alpha,1.0,,alpha,1.5,,alpha,2.0,,alpha,2.5,,
beta,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,
0.25,Quality,3.0,3.0,Quality,3.0,3.0,Quality,3.0,3.0,Quality,3.0,3.0,Quality,3.0,3.0,
,Price,1.0,1.0,Price,2.0,2.0,Price,3.0,3.0,Price,3.0,3.0,Price,3.0,3.0,
,Profit,12.1418,3.1866,Profit,31.914800000000003,21.3828,Profit,44.817600000000006,44.3142,Profit,38.3976,57.508799999999994,Profit,37.822199999999995,34.7166,
,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,
,UsedTime,,1.0285179067555155,UsedTime,,1.0572718552715337,UsedTime,,1.029883283022745,UsedTime,,1.000675799086758,UsedTime,,1.0,
,ShareSucceeded,,0.0,ShareSucceeded,,0.0,ShareSucceeded,,0.0,ShareSucceeded,,0.0,ShareSucceeded,,0.0,
,ShareFailed,,0.0,ShareFailed,,0.0,ShareFailed,,0.0,ShareFailed,,0.0,ShareFailed,,0.0,
,BorrowingSucceeded,,0.0,BorrowingSucceeded,,0.0,BorrowingSucceeded,,0.0,BorrowingSucceeded,,0.0,BorrowingSucceeded,,0.0,
,BorrowingFailed,,0.0,BorrowingFailed,,0.0,BorrowingFailed,,0.0,BorrowingFailed,,0.0,BorrowingFailed,,0.0,
,TotalUtility,,19.82195,TotalUtility,,39.3119,TotalUtility,,59.476350000000004,TotalUtility,,119.819175,TotalUtility,,179.8257,
beta,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,
0.5,Quality,1.75,1.5,Quality,3.0,3.0,Quality,3.0,3.0,Quality,3.0,3.0,Quality,3.0,3.0,
,Price,1.0,1.6666666666666667,Price,2.75,3.0,Price,2.75,2.5,Price,2.0,2.8,Price,2.875,2.9,
,Profit,1.7954,2.1624,Profit,31.5082,7.9572,Profit,44.821600000000004,16.8072,Profit,2.748,74.237,Profit,27.358000000000004,44.311400000000006,
,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,
,UsedTime,,1.7985556994001037,UsedTime,,1.8033796945621352,UsedTime,,1.3233349022284049,UsedTime,,1.0828025412535882,UsedTime,,1.0248016022992372,
,ShareSucceeded,,0.0,ShareSucceeded,,0.0,ShareSucceeded,,0.0,ShareSucceeded,,0.0,ShareSucceeded,,0.0,
,ShareFailed,,0.0,ShareFailed,,0.0,ShareFailed,,0.0,ShareFailed,,0.0,ShareFailed,,0.0,
,BorrowingSucceeded,,0.0,BorrowingSucceeded,,0.0,BorrowingSucceeded,,0.0,BorrowingSucceeded,,0.0,BorrowingSucceeded,,0.0,
,BorrowingFailed,,0.0,BorrowingFailed,,0.0,BorrowingFailed,,0.0,BorrowingFailed,,0.0,BorrowingFailed,,0.0,
,TotalUtility,,3.98615,TotalUtility,,21.81055,TotalUtility,,67.84280000000001,TotalUtility,,125.92140000000002,TotalUtility,,182.03359999999998,
beta,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,Firm,firm0,firm1,
0.75,Quality,2.0,1.6666666666666667,Quality,NaN,3.0,Quality,3.0,3.0,Quality,3.0,3.0,Quality,3.0,3.0,
,Price,1.5,1.5,Price,NaN,3.0,Price,3.0,3.0,Price,3.0,3.0,Price,2.75,2.75,
,Profit,1.9398,2.6552,Profit,0.0,35.304,Profit,20.8776,29.1666,Profit,26.022000000000002,42.322799999999994,Profit,33.6564,29.462799999999998,
,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,Consumer,,allConsumer,
,UsedTime,,1.798708019348886,UsedTime,,2.0698338470559086,UsedTime,,1.6971023139336219,UsedTime,,1.4137647656725254,UsedTime,,1.1672748813216938,
,ShareSucceeded,,0.0,ShareSucceeded,,0.0,ShareSucceeded,,0.0,ShareSucceeded,,0.0,ShareSucceeded,,0.0,
