#repetition,Firm0,Firm1
0,0,2
1,0,0
2,0,2
3,0,0
4,0,2
5,0,0
6,0,2
7,0,0
8,0,2
9,0,0
10,0,2
11,0,0
12,0,2
13,0,0
14,0,2
15,0,0
16,0,2
17,0,0
18,0,2
19,0,0
20,0,2
21,0,0
22,0,2
23,0,0
24,0,2
25,0,0
26,0,2
27,0,0
28,0,2
29,0,0
30,0,2
31,0,0
32,0,2
33,0,0
34,0,2
35,0,0
36,0,2
37,0,0
38,0,2
39,0,0
40,0,2
41,0,0
42,0,2
43,0,0
44,0,2
45,0,0
46,0,2
47,0,0
48,0,2
49,0,0
50,0,2
51,0,0
52,0,2
53,0,0
54,0,2
55,0,0
56,0,2
57,0,0
58,0,2
59,0,0
60,0,2
61,0,0
62,0,2
63,0,0
64,0,2
65,0,0
66,0,2
67,0,0
68,0,2
69,0,0
70,0,2
71,0,0
72,0,2
73,0,0
74,0,2
75,0,0
76,0,2
77,0,0
78,0,2
79,0,0
80,0,2
81,0,0
82,0,2
83,0,0
84,0,2
85,0,0
86,0,2
87,0,0
88,0,2
89,0,0
90,0,2
91,0,0
92,0,2
93,0,0
94,0,2
95,0,0
96,0,2
97,0,0
98,0,2
99,0,0
100,0,2
101,0,0
102,0,2
103,0,0
104,0,2
105,0,0
106,0,2
107,0,0
108,0,2
109,0,0
110,0,2
111,0,0
112,0,2
113,0,0
114,0,2
115,0,0
116,0,2
117,0,0
118,0,2
119,0,0
120,0,2
121,0,0
122,0,2
123,0,0
124,0,2
125,0,0
126,0,2
127,0,0
128,0,2
129,0,0
130,0,2
131,0,0
132,0,2
133,0,0
134,0,2
135,0,0
136,0,2
137,0,0
138,0,2
139,0,0
140,0,2
141,0,0
142,0,2
143,0,0
144,0,2
145,0,0
146,0,2
147,0,0
148,0,2
149,0,0
150,0,2
151,0,0
152,0,2
153,0,0
154,0,2
155,0,0
156,0,2
157,0,0
158,0,2
159,0,0
160,0,2
161,0,0
162,0,2
163,0,0
164,0,2
165,0,0
166,0,2
167,0,0
168,0,2
169,0,0
170,0,2
171,0,0
172,0,2
173,0,0
174,0,2
175,0,0
176,0,2
177,0,0
178,0,2
179,0,0
180,0,2
181,0,0
182,0,2
183,0,0
184,0,2
185,0,0
186,0,2
187,0,0
188,0,2
189,0,0
190,0,2
191,0,0
192,0,2
193,0,0
194,0,2
195,0,0
196,0,2
197,0,0
198,0,2
199,0,0
200,0,2
201,0,0
202,0,2
203,0,0
204,0,2
205,0,0
206,0,2
207,0,0
208,0,2
209,0,0
210,0,2
211,0,0
212,0,2
213,0,0
214,0,2
215,0,0
216,0,2
217,0,0
218,0,2
219,0,0
220,0,2
221,0,0
222,0,2
223,0,0
224,0,2
225,0,0
226,0,2
227,0,0
228,0,2
229,0,0
230,0,2
231,0,0
232,0,2
233,0,0
234,0,2
235,0,0
236,0,2
237,0,0
238,0,2
239,0,0
240,0,2
241,0,0
242,0,2
243,0,0
244,0,2
245,0,0
246,0,2
247,0,0
248,0,2
249,0,0
250,0,2
251,0,0
252,0,2
253,0,0
254,0,2
255,0,0
256,0,2
257,0,0
258,0,2
259,0,0
260,0,2
261,0,0
262,0,2
263,0,0
264,0,2
265,0,0
266,0,2
267,0,0
268,0,2
269,0,0
270,0,2
271,0,0
272,0,2
273,0,0
274,0,2
275,0,0
276,0,2
277,0,0
278,0,2
279,0,0
280,0,2
281,0,0
282,0,2
283,0,0
284,0,2
285,0,0
286,0,2
287,0,0
288,0,2
289,0,0
290,0,2
291,0,0
292,0,2
293,0,0
294,0,2
295,0,0
296,0,2
297,0,0
298,0,2
299,0,0
300,0,2
301,0,0
302,0,2
303,0,0
304,0,2
305,0,0
306,0,2
307,0,0
308,0,2
309,0,0
310,0,2
311,0,0
312,0,2
313,0,0
314,0,2
315,0,0
316,0,2
317,0,0
318,0,2
319,0,0
320,0,2
321,0,0
322,0,2
323,0,0
324,0,2
325,0,0
326,0,2
327,0,0
328,0,2
329,0,0
330,0,2
331,0,0
332,0,2
333,0,0
334,0,2
335,0,0
336,0,2
337,0,0
338,0,2
339,0,0
340,0,2
341,0,0
342,0,2
343,0,0
344,0,2
345,0,0
346,0,2
347,0,0
348,0,2
349,0,0
350,0,2
351,0,0
352,0,2
353,0,0
354,0,2
355,0,0
356,0,2
357,0,0
358,0,2
359,0,0
360,0,2
361,0,0
362,0,2
363,0,0
364,0,2
365,0,0
366,0,2
367,0,0
368,0,2
369,0,0
370,0,2
371,0,0
372,0,2
373,0,0
374,0,2
375,0,0
376,0,2
377,0,0
378,0,2
379,0,0
380,0,2
381,0,0
382,0,2
383,0,0
384,0,2
385,0,0
386,0,2
387,0,0
388,0,2
389,0,0
390,0,2
391,0,0
392,0,2
393,0,0
394,0,2
395,0,0
396,0,2
397,0,0
398,0,2
399,0,0
400,0,2
401,0,0
402,0,2
403,0,0
404,0,2
405,0,0
406,0,2
407,0,0
408,0,2
409,0,0
410,0,2
411,0,0
412,0,2
413,0,0
414,0,2
415,0,0
416,0,2
417,0,0
418,0,2
419,0,0
420,0,2
421,0,0
422,0,2
423,0,0
424,0,2
425,0,0
426,0,2
427,0,0
428,0,2
429,0,0
430,0,2
431,0,0
432,0,2
433,0,0
434,0,2
435,0,0
436,0,2
437,0,0
438,0,2
439,0,0
440,0,2
441,0,0
442,0,2
443,0,0
444,0,2
445,0,0
446,0,2
447,0,0
448,0,2
449,0,0
450,0,2
451,0,0
452,0,2
453,0,0
454,0,2
455,0,0
456,0,2
457,0,0
458,0,2
459,0,0
460,0,2
461,0,0
462,0,2
463,0,0
464,0,2
465,0,0
466,0,2
467,0,0
468,0,2
469,0,0
470,0,2
471,0,0
472,0,2
473,0,0
474,0,2
475,0,0
476,0,2
477,0,0
478,0,2
479,0,0
480,0,2
481,0,0
482,0,2
483,0,0
484,0,2
485,0,0
486,0,2
487,0,0
488,0,2
489,0,0
490,0,2
491,0,0
492,0,2
493,0,0
494,0,2
495,0,0
496,0,2
497,0,0
498,0,2
499,0,0
500,0,2
501,0,0
502,0,2
503,0,0
504,0,2
505,0,0
506,0,2
507,0,0
508,0,2
509,0,0
510,0,2
511,0,0
512,0,2
513,0,0
514,0,2
515,0,0
516,0,2
517,0,0
518,0,2
519,0,0
520,0,2
521,0,0
522,0,2
523,0,0
524,0,2
525,0,0
526,0,2
527,0,0
528,0,2
529,0,0
530,0,2
531,0,0
532,0,2
533,0,0
534,0,2
535,0,0
536,0,2
537,0,0
538,0,2
539,0,0
540,0,2
541,0,0
542,0,2
543,0,0
544,0,2
545,0,0
546,0,2
547,0,0
548,0,2
549,0,0
550,0,2
551,0,0
552,0,2
553,0,0
554,0,2
555,0,0
556,0,2
557,0,0
558,0,2
559,0,0
560,0,2
561,0,0
562,0,2
563,0,0
564,0,2
565,0,0
566,0,2
567,0,0
568,0,2
569,0,0
570,0,2
571,0,0
572,0,2
573,0,0
574,0,2
575,0,0
576,0,2
577,0,0
578,0,2
579,0,0
580,0,2
581,0,0
582,0,2
583,0,0
584,0,2
585,0,0
586,0,2
587,0,0
588,0,2
589,0,0
590,0,2
591,0,0
592,0,2
593,0,0
594,0,2
595,0,0
596,0,2
597,0,0
598,0,2
599,0,0
600,0,2
601,0,0
602,0,2
603,0,0
604,0,2
605,0,0
606,0,2
607,0,0
608,0,2
609,0,0
610,0,2
611,0,0
612,0,2
613,0,0
614,0,2
615,0,0
616,0,2
617,0,0
618,0,2
619,0,0
620,0,2
621,0,0
622,0,2
623,0,0
624,0,2
625,0,0
626,0,2
627,0,0
628,0,2
629,0,0
630,0,2
631,0,0
632,0,2
633,0,0
634,0,2
635,0,0
636,0,2
637,0,0
638,0,2
639,0,0
640,0,2
641,0,0
642,0,2
643,0,0
644,0,2
645,0,0
646,0,2
647,0,0
648,0,2
649,0,0
650,0,2
651,0,0
652,0,2
653,0,0
654,0,2
655,0,0
656,0,2
657,0,0
658,0,2
659,0,0
660,0,2
661,0,0
662,0,2
663,0,0
664,0,2
665,0,0
666,0,2
667,0,0
668,0,2
669,0,0
670,0,2
671,0,0
672,0,2
673,0,0
674,0,2
675,0,0
676,0,2
677,0,0
678,0,2
679,0,0
680,0,2
681,0,0
682,0,2
683,0,0
684,0,2
685,0,0
686,0,2
687,0,0
688,0,2
689,0,0
690,0,2
691,0,0
692,0,2
693,0,0
694,0,2
695,0,0
696,0,2
697,0,0
698,0,2
699,0,0
700,0,2
701,0,0
702,0,2
703,0,0
704,0,2
705,0,0
706,0,2
707,0,0
708,0,2
709,0,0
710,0,2
711,0,0
712,0,2
713,0,0
714,0,2
715,0,0
716,0,2
717,0,0
718,0,2
719,0,0
720,0,2
721,0,0
722,0,2
723,0,0
724,0,2
725,0,0
726,0,2
727,0,0
728,0,2
729,0,0
730,0,2
731,0,0
732,0,2
733,0,0
734,0,2
735,0,0
736,0,2
737,0,0
738,0,2
739,0,0
740,0,2
741,0,0
742,0,2
743,0,0
744,0,2
745,0,0
746,0,2
747,0,0
748,0,2
749,0,0
750,0,2
751,0,0
752,0,2
753,0,0
754,0,2
755,0,0
756,0,2
757,0,0
758,0,2
759,0,0
760,0,2
761,0,0
762,0,2
763,0,0
764,0,2
765,0,0
766,0,2
767,0,0
768,0,2
769,0,0
770,0,2
771,0,0
772,0,2
773,0,0
774,0,2
775,0,0
776,0,2
777,0,0
778,0,2
779,0,0
780,0,2
781,0,0
782,0,2
783,0,0
784,0,2
785,0,0
786,0,2
787,0,0
788,0,2
789,0,0
790,0,2
791,0,0
792,0,2
793,0,0
794,0,2
795,0,0
796,0,2
797,0,0
798,0,2
799,0,0
800,0,2
801,0,0
802,0,2
803,0,0
804,0,2
805,0,0
806,0,2
807,0,0
808,0,2
809,0,0
810,0,2
811,0,0
812,0,2
813,0,0
814,0,2
815,0,0
816,0,2
817,0,0
818,0,2
819,0,0
820,0,2
821,0,0
822,0,2
823,0,0
824,0,2
825,0,0
826,0,2
827,0,0
828,0,2
829,0,0
830,0,2
831,0,0
832,0,2
833,0,0
834,0,2
835,0,0
836,0,2
837,0,0
838,0,2
839,0,0
840,0,2
841,0,0
842,0,2
843,0,0
844,0,2
845,0,0
846,0,2
847,0,0
848,0,2
849,0,0
850,0,2
851,0,0
852,0,2
853,0,0
854,0,2
855,0,0
856,0,2
857,0,0
858,0,2
859,0,0
860,0,2
861,0,0
862,0,2
863,0,0
864,0,2
865,0,0
866,0,2
867,0,0
868,0,2
869,0,0
870,0,2
871,0,0
872,0,2
873,0,0
874,0,2
875,0,0
876,0,2
877,0,0
878,0,2
879,0,0
880,0,2
881,0,0
882,0,2
883,0,0
884,0,2
885,0,0
886,0,2
887,0,0
888,0,2
889,0,0
890,0,2
891,0,0
892,0,2
893,0,0
894,0,2
895,0,0
896,0,2
897,0,0
898,0,2
899,0,0
900,0,2
901,0,0
902,0,2
903,0,0
904,0,2
905,0,0
906,0,2
907,0,0
908,0,2
909,0,0
910,0,2
911,0,0
912,0,2
913,0,0
914,0,2
915,0,0
916,0,2
917,0,0
918,0,2
919,0,0
920,0,2
921,0,0
922,0,2
923,0,0
924,0,2
925,0,0
926,0,2
927,0,0
928,0,2
929,0,0
930,0,2
931,0,0
932,0,2
933,0,0
934,0,2
935,0,0
936,0,2
937,0,0
938,0,2
939,0,0
940,0,2
941,0,0
942,0,2
943,0,0
944,0,2
945,0,0
946,0,2
947,0,0
948,0,2
949,0,0
950,0,2
951,0,0
952,0,2
953,0,0
954,0,2
955,0,0
956,0,2
957,0,0
958,0,2
959,0,0
960,0,2
961,0,0
962,0,2
963,0,0
964,0,2
965,0,0
966,0,2
967,0,0
968,0,2
969,0,0
970,0,2
971,0,0
972,0,2
973,0,0
974,0,2
975,0,0
976,0,2
977,0,0
978,0,2
979,0,0
980,0,2
981,0,0
982,0,2
983,0,0
984,0,2
985,0,0
986,0,2
987,0,0
988,0,2
989,0,0
990,0,2
991,0,0
992,0,2
993,0,0
994,0,2
995,0,0
996,0,2
997,0,0
998,0,2
999,0,0
