#repetition,Firm0,Firm1
0,1,2
1,1,1
2,1,2
3,1,1
4,1,2
5,1,1
6,1,2
7,1,1
8,1,2
9,1,1
10,1,2
11,1,1
12,1,2
13,1,1
14,1,2
15,1,1
16,1,2
17,1,1
18,1,2
19,1,1
20,1,2
21,1,1
22,1,2
23,1,1
24,1,2
25,1,1
26,1,2
27,1,1
28,1,2
29,1,1
30,1,2
31,1,1
32,1,2
33,1,1
34,1,2
35,1,1
36,1,2
37,1,1
38,1,2
39,1,1
40,1,2
41,1,1
42,1,2
43,1,1
44,1,2
45,1,1
46,1,2
47,1,1
48,1,2
49,1,1
50,1,2
51,1,1
52,1,2
53,1,1
54,1,2
55,1,1
56,1,2
57,1,1
58,1,2
59,1,1
60,1,2
61,1,1
62,1,2
63,1,1
64,1,2
65,1,1
66,1,2
67,1,1
68,1,2
69,1,1
70,1,2
71,1,1
72,1,2
73,1,1
74,1,2
75,1,1
76,1,2
77,1,1
78,1,2
79,1,1
80,1,2
81,1,1
82,1,2
83,1,1
84,1,2
85,1,1
86,1,2
87,1,1
88,1,2
89,1,1
90,1,2
91,1,1
92,1,2
93,1,1
94,1,2
95,1,1
96,1,2
97,1,1
98,1,2
99,1,1
100,1,2
101,1,1
102,1,2
103,1,1
104,1,2
105,1,1
106,1,2
107,1,1
108,1,2
109,1,1
110,1,2
111,1,1
112,1,2
113,1,1
114,1,2
115,1,1
116,1,2
117,1,1
118,1,2
119,1,1
120,1,2
121,1,1
122,1,2
123,1,1
124,1,2
125,1,1
126,1,2
127,1,1
128,1,2
129,1,1
130,1,2
131,1,1
132,1,2
133,1,1
134,1,2
135,1,1
136,1,2
137,1,1
138,1,2
139,1,1
140,1,2
141,1,1
142,1,2
143,1,1
144,1,2
145,1,1
146,1,2
147,1,1
148,1,2
149,1,1
150,1,2
151,1,1
152,1,2
153,1,1
154,1,2
155,1,1
156,1,2
157,1,1
158,1,2
159,1,1
160,1,2
161,1,1
162,1,2
163,1,1
164,1,2
