#repetition,Firm0,Firm1
0,3,1
1,2,3
2,1,1
3,1,3
4,3,1
5,2,3
6,1,1
7,1,3
8,3,1
9,2,3
10,1,1
11,1,3
12,3,1
13,2,3
14,1,1
15,1,3
16,3,1
17,2,3
18,1,1
19,1,3
20,3,1
21,2,3
22,1,1
23,1,3
24,3,1
25,2,3
26,1,1
27,1,3
28,3,1
29,2,3
30,1,1
31,1,3
32,3,1
33,2,3
34,1,1
35,1,3
36,3,1
37,2,3
38,1,1
39,1,3
40,3,1
41,2,3
42,1,1
43,1,3
44,3,1
45,2,3
46,1,1
47,1,3
48,3,1
49,2,3
50,1,1
51,1,3
52,3,1
53,2,3
54,1,1
55,1,3
56,3,1
57,2,3
58,1,1
59,1,3
60,3,1
61,2,3
62,1,1
63,1,3
64,3,1
65,2,3
66,1,1
67,1,3
68,3,1
69,2,3
70,1,1
71,1,3
72,3,1
73,2,3
74,1,1
75,1,3
76,3,1
77,2,3
78,1,1
79,1,3
80,3,1
81,2,3
82,1,1
83,1,3
84,3,1
85,2,3
86,1,1
87,1,3
88,3,1
89,2,3
90,1,1
91,1,3
92,3,1
93,2,3
94,1,1
95,1,3
96,3,1
97,2,3
98,1,1
99,1,3
100,3,1
101,2,3
102,1,1
103,1,3
104,3,1
105,2,3
106,1,1
107,1,3
108,3,1
109,2,3
110,1,1
111,1,3
112,3,1
113,2,3
114,1,1
115,1,3
116,3,1
117,2,3
118,1,1
119,1,3
120,3,1
121,2,3
122,1,1
123,1,3
124,3,1
125,2,3
126,1,1
127,1,3
128,3,1
129,2,3
130,1,1
131,1,3
132,3,1
133,2,3
134,1,1
135,1,3
136,3,1
137,2,3
138,1,1
139,1,3
140,3,1
141,2,3
142,1,1
143,1,3
144,3,1
145,2,3
146,1,1
147,1,3
148,3,1
149,2,3
150,1,1
151,1,3
152,3,1
153,2,3
154,1,1
155,1,3
156,3,1
157,2,3
158,1,1
159,1,3
160,3,1
161,2,3
162,1,1
163,1,3
164,3,1
165,2,3
166,1,1
167,1,3
168,3,1
169,2,3
170,1,1
171,1,3
172,3,1
173,2,3
174,1,1
175,1,3
176,3,1
177,2,3
178,1,1
179,1,3
180,3,1
181,2,3
182,1,1
183,1,3
184,3,1
185,2,3
186,1,1
187,1,3
188,3,1
189,2,3
190,1,1
191,1,3
192,3,1
193,2,3
194,1,1
195,1,3
196,3,1
197,2,3
198,1,1
199,1,3
200,3,1
201,2,3
202,1,1
203,1,3
204,3,1
205,2,3
206,1,1
207,1,3
208,3,1
209,2,3
210,1,1
211,1,3
212,3,1
213,2,3
214,1,1
215,1,3
216,3,1
217,2,3
218,1,1
219,1,3
220,3,1
221,2,3
222,1,1
223,1,3
224,3,1
225,2,3
226,1,1
227,1,3
228,3,1
229,2,3
230,1,1
231,1,3
232,3,1
233,2,3
234,1,1
235,1,3
236,3,1
237,2,3
238,1,1
239,1,3
240,3,1
241,2,3
242,1,1
243,1,3
244,3,1
245,2,3
246,1,1
247,1,3
248,3,1
249,2,3
250,1,1
251,1,3
252,3,1
253,2,3
254,1,1
255,1,3
256,3,1
257,2,3
258,1,1
259,1,3
260,3,1
261,2,3
262,1,1
263,1,3
264,3,1
265,2,3
266,1,1
267,1,3
268,3,1
269,2,3
270,1,1
271,1,3
272,3,1
273,2,3
274,1,1
275,1,3
276,3,1
277,2,3
278,1,1
279,1,3
280,3,1
281,2,3
282,1,1
283,1,3
284,3,1
285,2,3
286,1,1
287,1,3
288,3,1
289,2,3
290,1,1
291,1,3
292,3,1
293,2,3
294,1,1
295,1,3
296,3,1
297,2,3
298,1,1
299,1,3
300,3,1
301,2,3
302,1,1
303,1,3
304,3,1
305,2,3
306,1,1
307,1,3
308,3,1
309,2,3
310,1,1
311,1,3
312,3,1
313,2,3
314,1,1
315,1,3
316,3,1
317,2,3
318,1,1
319,1,3
320,3,1
321,2,3
322,1,1
323,1,3
324,3,1
325,2,3
326,1,1
327,1,3
328,3,1
329,2,3
330,1,1
331,1,3
332,3,1
333,2,3
334,1,1
335,1,3
336,3,1
337,2,3
338,1,1
339,1,3
340,3,1
341,2,3
342,1,1
343,1,3
344,3,1
345,2,3
346,1,1
347,1,3
348,3,1
349,2,3
350,1,1
351,1,3
352,3,1
353,2,3
354,1,1
355,1,3
356,3,1
357,2,3
358,1,1
359,1,3
360,3,1
361,2,3
362,1,1
363,1,3
364,3,1
365,2,3
366,1,1
367,1,3
368,3,1
369,2,3
370,1,1
371,1,3
372,3,1
373,2,3
374,1,1
375,1,3
376,3,1
377,2,3
378,1,1
379,1,3
380,3,1
381,2,3
382,1,1
383,1,3
384,3,1
385,2,3
386,1,1
387,1,3
388,3,1
389,2,3
390,1,1
391,1,3
392,3,1
393,2,3
394,1,1
395,1,3
396,3,1
397,2,3
398,1,1
399,1,3
400,3,1
401,2,3
402,1,1
403,1,3
404,3,1
405,2,3
406,1,1
407,1,3
408,3,1
409,2,3
410,1,1
411,1,3
412,3,1
413,2,3
414,1,1
415,1,3
416,3,1
417,2,3
418,1,1
419,1,3
420,3,1
421,2,3
422,1,1
423,1,3
424,3,1
425,2,3
426,1,1
427,1,3
428,3,1
429,2,3
430,1,1
431,1,3
432,3,1
433,2,3
434,1,1
435,1,3
436,3,1
437,2,3
438,1,1
439,1,3
440,3,1
441,2,3
442,1,1
443,1,3
444,3,1
445,2,3
446,1,1
447,1,3
448,3,1
449,2,3
450,1,1
451,1,3
452,3,1
453,2,3
454,1,1
455,1,3
456,3,1
457,2,3
458,1,1
459,1,3
460,3,1
461,2,3
462,1,1
463,1,3
464,3,1
465,2,3
466,1,1
467,1,3
468,3,1
469,2,3
470,1,1
471,1,3
472,3,1
473,2,3
474,1,1
475,1,3
476,3,1
477,2,3
478,1,1
479,1,3
480,3,1
481,2,3
482,1,1
483,1,3
484,3,1
485,2,3
486,1,1
487,1,3
488,3,1
489,2,3
490,1,1
491,1,3
492,3,1
493,2,3
494,1,1
495,1,3
496,3,1
497,2,3
498,1,1
499,1,3
500,3,1
501,2,3
502,1,1
503,1,3
504,3,1
505,2,3
506,1,1
507,1,3
508,3,1
509,2,3
510,1,1
511,1,3
512,3,1
513,2,3
514,1,1
515,1,3
516,3,1
517,2,3
518,1,1
519,1,3
520,3,1
521,2,3
522,1,1
523,1,3
524,3,1
525,2,3
526,1,1
527,1,3
528,3,1
529,2,3
530,1,1
531,1,3
532,3,1
533,2,3
534,1,1
535,1,3
536,3,1
537,2,3
538,1,1
539,1,3
540,3,1
541,2,3
542,1,1
543,1,3
544,3,1
545,2,3
546,1,1
547,1,3
548,3,1
549,2,3
550,1,1
551,1,3
552,3,1
553,2,3
554,1,1
555,1,3
556,3,1
557,2,3
558,1,1
559,1,3
560,3,1
561,2,3
562,1,1
563,1,3
564,3,1
565,2,3
566,1,1
567,1,3
568,3,1
569,2,3
570,1,1
571,1,3
572,3,1
573,2,3
574,1,1
575,1,3
576,3,1
577,2,3
578,1,1
579,1,3
580,3,1
581,2,3
582,1,1
583,1,3
584,3,1
585,2,3
586,1,1
587,1,3
588,3,1
589,2,3
590,1,1
591,1,3
592,3,1
593,2,3
594,1,1
595,1,3
596,3,1
597,2,3
598,1,1
599,1,3
600,3,1
601,2,3
602,1,1
603,1,3
604,3,1
605,2,3
606,1,1
607,1,3
608,3,1
609,2,3
610,1,1
611,1,3
612,3,1
613,2,3
614,1,1
615,1,3
616,3,1
617,2,3
618,1,1
619,1,3
620,3,1
621,2,3
622,1,1
623,1,3
624,3,1
625,2,3
626,1,1
627,1,3
628,3,1
629,2,3
630,1,1
631,1,3
632,3,1
633,2,3
634,1,1
635,1,3
636,3,1
637,2,3
638,1,1
639,1,3
640,3,1
641,2,3
642,1,1
643,1,3
644,3,1
645,2,3
646,1,1
647,1,3
648,3,1
649,2,3
650,1,1
651,1,3
652,3,1
653,2,3
654,1,1
