#repetition,TotalFirmProfit,TotalConsumerUtility,SocialWelfair,firmEpsilon,consumerEpsilon,Firm0's Quality,Firm1's Quality,Firm0's Price,Firm1's Price
0,-61.0,22.8125,-38.1875,0.3,0.0,2.0,2.0,3.0,3.0
1,2926.0,30944.4375,33870.4375,0.2999996250001874,0.0,3.0,2.0,1.0,1.0
2,7506.0,28980.25,36486.25,0.29999850000299993,0.0,0.0,2.0,2.0,2.0
3,8845.0,26100.4375,34945.4375,0.2999966250151875,0.0,3.0,1.0,2.0,3.0
4,6561.0,30302.0625,36863.0625,0.2999940000479998,0.0,1.0,3.0,2.0,2.0
5,3887.0,32678.875,36565.875,0.29999062511718677,0.0,2.0,2.0,1.0,1.0
6,6520.0,29589.6875,36109.6875,0.2999865002429978,0.0,2.0,2.0,1.0,2.0
7,7454.0,27916.3125,35370.3125,0.2999816254501819,0.0,2.0,2.0,2.0,2.0
8,5764.0,30809.1875,36573.1875,0.2999760007679877,0.0,0.0,2.0,2.0,2.0
9,5454.0,30786.875,36240.875,0.2999696262301625,0.0,2.0,2.0,2.0,2.0
10,3832.0,36906.375,40738.375,0.29996250187495305,0.0,3.0,0.0,2.0,3.0
11,5486.0,36376.4375,41862.4375,0.2999546277451044,0.0,2.0,0.0,1.0,3.0
12,4748.0,37396.1875,42144.1875,0.29994600388785997,0.0,3.0,2.0,1.0,3.0
13,2265.0,36792.0625,39057.0625,0.2999366303549612,0.0,2.0,0.0,1.0,3.0
14,3458.0,34051.1875,37509.1875,0.2999265072026471,0.0,3.0,2.0,2.0,2.0
15,2189.0,36289.25,38478.25,0.2999156344916536,0.0,2.0,3.0,1.0,1.0
16,2361.0,37673.6875,40034.6875,0.29990401228721364,0.0,2.0,1.0,3.0,2.0
17,3593.0,36220.0625,39813.0625,0.2998916406590561,0.0,3.0,0.0,3.0,3.0
18,2847.0,36231.9375,39078.9375,0.2998785196814057,0.0,3.0,0.0,1.0,2.0
19,4452.0,35159.0,39611.0,0.2998646494329824,0.0,3.0,1.0,3.0,1.0
20,2677.0,47369.375,50046.375,0.29985002999700017,0.0,3.0,0.0,1.0,3.0
21,1865.0,43818.1875,45683.1875,0.29983466146116744,0.0,3.0,3.0,2.0,1.0
22,3425.0,46175.25,49600.25,0.2998185439176856,0.0,2.0,0.0,2.0,2.0
23,4065.0,47593.8125,51658.8125,0.2998016774632489,0.0,3.0,2.0,2.0,2.0
24,3219.0,44967.375,48186.375,0.29978406219904263,0.0,0.0,2.0,2.0,1.0
25,3213.0,48285.1875,51498.1875,0.29976569823074434,0.0,2.0,0.0,3.0,1.0
26,3381.0,51708.5625,55089.5625,0.29974658566852086,0.0,3.0,3.0,2.0,2.0
27,3004.0,48449.6875,51453.6875,0.29972672462702876,0.0,0.0,3.0,3.0,3.0
28,3810.0,52852.25,56662.25,0.2997061152254136,0.0,3.0,0.0,1.0,3.0
29,5050.0,52440.0625,57490.0625,0.2996847575873081,0.0,3.0,0.0,1.0,1.0
30,4763.0,55028.9375,59791.9375,0.2996626518408319,0.0,3.0,0.0,1.0,1.0
31,3512.0,51517.3125,55029.3125,0.29963979811859065,0.0,0.0,1.0,3.0,2.0
32,3374.0,52061.5,55435.5,0.29961619655767474,0.0,0.0,2.0,2.0,3.0
33,2555.0,55409.3125,57964.3125,0.2995918472996582,0.0,3.0,1.0,2.0,3.0
34,3825.0,55135.625,58960.625,0.2995667504905978,0.0,1.0,2.0,2.0,2.0
35,4444.0,53430.5625,57874.5625,0.2995409062810321,0.0,0.0,2.0,1.0,3.0
36,2626.0,59171.375,61797.375,0.29951431482597984,0.0,2.0,0.0,2.0,2.0
37,2141.0,57993.0625,60134.0625,0.2994869762849397,0.0,3.0,0.0,1.0,3.0
38,1653.0,54158.125,55811.125,0.29945889082188787,0.0,2.0,3.0,1.0,2.0
39,1062.0,49911.8125,50973.8125,0.29943005860527777,0.0,0.0,3.0,3.0,2.0
40,1893.0,48937.5625,50830.5625,0.29940047980803847,0.0,3.0,0.0,1.0,1.0
41,231.0,55585.5625,55816.5625,0.29937015460757316,0.0,3.0,2.0,2.0,2.0
42,972.0,53465.25,54437.25,0.2993390831857583,0.0,0.0,2.0,3.0,1.0
43,282.0,52222.5,52504.5,0.2993072657289421,0.0,3.0,0.0,2.0,1.0
44,1142.0,50282.75,51424.75,0.2992747024279425,0.0,2.0,0.0,2.0,3.0
45,-1579.0,55933.75,54354.75,0.2992413934780469,0.0,2.0,0.0,2.0,2.0
46,2026.0,51051.9375,53077.9375,0.29920733907900976,0.0,3.0,0.0,1.0,1.0
47,3521.0,50225.5625,53746.5625,0.29917253943505123,0.0,2.0,2.0,3.0,2.0
48,1879.0,49607.625,51486.625,0.2991369947548561,0.0,1.0,3.0,1.0,1.0
49,3520.0,50259.3125,53779.3125,0.2991007052515719,0.0,2.0,2.0,2.0,1.0
50,3532.0,46769.1875,50301.1875,0.29906367114280696,0.0,3.0,1.0,1.0,3.0
51,4238.0,55665.5625,59903.5625,0.2990258926506297,0.0,2.0,0.0,2.0,2.0
52,2308.0,60279.9375,62587.9375,0.29898737000156583,0.0,2.0,2.0,3.0,2.0
53,3149.0,61106.25,64255.25,0.2989481034265978,0.0,2.0,0.0,1.0,2.0
54,3857.0,57679.375,61536.375,0.2989080931611621,0.0,2.0,2.0,3.0,2.0
55,4487.0,56650.1875,61137.1875,0.298867339445148,0.0,2.0,0.0,3.0,1.0
56,4659.0,50549.0625,55208.0625,0.2988258425228957,0.0,3.0,0.0,1.0,3.0
57,4498.0,46769.8125,51267.8125,0.29878360264319437,0.0,2.0,0.0,2.0,1.0
58,5465.0,39809.8125,45274.8125,0.29874062005928026,0.0,2.0,2.0,2.0,3.0
59,5895.0,33596.3125,39491.3125,0.29869689502883523,0.0,2.0,1.0,2.0,3.0
60,7573.0,31058.6875,38631.6875,0.29865242781398393,0.0,2.0,0.0,2.0,2.0
