#repetition,Firm0,Firm1
0,32.0,0.0
1,30.0,0.0
2,28.0,0.0
3,28.0,0.0
4,26.0,0.0
5,26.0,0.0
6,24.0,0.0
7,32.0,0.0
8,24.0,0.0
9,28.0,0.0
10,20.0,0.0
11,36.0,0.0
12,20.0,0.0
13,36.0,0.0
14,28.0,0.0
15,26.0,0.0
16,32.0,0.0
17,26.0,0.0
18,28.0,0.0
19,30.0,0.0
20,30.0,0.0
21,20.0,0.0
22,32.0,0.0
23,24.0,0.0
24,32.0,0.0
25,28.0,0.0
26,34.0,0.0
27,20.0,0.0
28,42.0,0.0
29,14.0,0.0
30,38.0,0.0
31,24.0,0.0
32,34.0,0.0
33,26.0,0.0
34,26.0,0.0
35,30.0,0.0
36,26.0,0.0
37,32.0,0.0
38,30.0,0.0
39,24.0,0.0
40,40.0,0.0
41,18.0,0.0
42,36.0,0.0
43,20.0,0.0
44,36.0,0.0
45,20.0,0.0
46,36.0,0.0
47,24.0,0.0
48,30.0,0.0
49,28.0,0.0
50,30.0,0.0
51,32.0,0.0
52,24.0,0.0
53,30.0,0.0
54,20.0,0.0
55,38.0,0.0
56,20.0,0.0
57,36.0,0.0
58,26.0,0.0
59,24.0,0.0
60,28.0,0.0
61,32.0,0.0
62,22.0,0.0
63,24.0,0.0
64,32.0,0.0
65,32.0,0.0
66,22.0,0.0
67,34.0,0.0
68,22.0,0.0
69,34.0,0.0
70,26.0,0.0
71,30.0,0.0
72,26.0,0.0
73,30.0,0.0
74,22.0,0.0
75,30.0,0.0
76,30.0,0.0
77,12.0,0.0
78,32.0,0.0
79,30.0,0.0
80,28.0,0.0
81,28.0,0.0
82,34.0,0.0
83,26.0,0.0
84,28.0,0.0
85,22.0,0.0
86,34.0,0.0
87,24.0,0.0
88,38.0,0.0
89,20.0,0.0
90,30.0,0.0
91,32.0,0.0
92,28.0,0.0
93,32.0,0.0
94,26.0,0.0
95,38.0,0.0
96,22.0,0.0
97,36.0,0.0
98,16.0,0.0
99,32.0,0.0
100,30.0,0.0
101,30.0,0.0
102,30.0,0.0
103,32.0,0.0
104,20.0,0.0
105,44.0,0.0
106,20.0,0.0
107,32.0,0.0
108,28.0,0.0
109,30.0,0.0
110,32.0,0.0
111,26.0,0.0
112,36.0,0.0
113,24.0,0.0
114,32.0,0.0
115,26.0,0.0
116,30.0,0.0
117,26.0,0.0
118,34.0,0.0
119,22.0,0.0
120,36.0,0.0
121,26.0,0.0
122,24.0,0.0
123,38.0,0.0
124,18.0,0.0
125,38.0,0.0
126,16.0,0.0
127,36.0,0.0
128,18.0,0.0
129,34.0,0.0
130,28.0,0.0
131,22.0,0.0
132,30.0,0.0
133,32.0,0.0
134,20.0,0.0
135,26.0,0.0
136,34.0,0.0
137,28.0,0.0
138,34.0,0.0
139,14.0,0.0
140,34.0,0.0
141,22.0,0.0
142,28.0,0.0
143,32.0,0.0
144,30.0,0.0
145,32.0,0.0
146,26.0,0.0
147,24.0,0.0
148,34.0,0.0
149,18.0,0.0
150,40.0,0.0
151,16.0,0.0
152,38.0,0.0
153,22.0,0.0
154,30.0,0.0
155,30.0,0.0
156,30.0,0.0
157,32.0,0.0
158,28.0,0.0
159,26.0,0.0
160,28.0,0.0
161,22.0,0.0
162,30.0,0.0
163,34.0,0.0
164,24.0,0.0
165,36.0,0.0
166,22.0,0.0
167,36.0,0.0
168,16.0,0.0
169,38.0,0.0
170,22.0,0.0
171,30.0,0.0
172,30.0,0.0
173,32.0,0.0
174,20.0,0.0
175,32.0,0.0
176,20.0,0.0
177,28.0,0.0
178,32.0,0.0
179,22.0,0.0
180,34.0,0.0
181,24.0,0.0
182,30.0,0.0
183,18.0,0.0
184,38.0,0.0
185,18.0,0.0
186,36.0,0.0
187,20.0,0.0
188,38.0,0.0
189,16.0,0.0
190,40.0,0.0
191,18.0,0.0
192,40.0,0.0
193,22.0,0.0
194,32.0,0.0
195,30.0,0.0
196,16.0,0.0
197,38.0,0.0
198,22.0,0.0
199,38.0,0.0
200,24.0,0.0
201,32.0,0.0
202,24.0,0.0
203,38.0,0.0
204,20.0,0.0
205,36.0,0.0
206,20.0,0.0
207,26.0,0.0
208,28.0,0.0
209,34.0,0.0
210,26.0,0.0
211,34.0,0.0
212,26.0,0.0
213,24.0,0.0
214,36.0,0.0
215,26.0,0.0
216,30.0,0.0
217,28.0,0.0
218,28.0,0.0
219,24.0,0.0
220,32.0,0.0
221,28.0,0.0
222,30.0,0.0
223,30.0,0.0
224,18.0,0.0
225,38.0,0.0
226,24.0,0.0
227,34.0,0.0
228,24.0,0.0
229,36.0,0.0
230,24.0,0.0
231,30.0,0.0
232,30.0,0.0
233,28.0,0.0
234,32.0,0.0
235,32.0,0.0
236,28.0,0.0
237,22.0,0.0
238,38.0,0.0
239,20.0,0.0
240,26.0,0.0
241,34.0,0.0
242,22.0,0.0
243,32.0,0.0
244,30.0,0.0
245,32.0,0.0
246,32.0,0.0
247,20.0,0.0
248,36.0,0.0
249,22.0,0.0
250,30.0,0.0
251,32.0,0.0
252,26.0,0.0
253,28.0,0.0
254,26.0,0.0
255,34.0,0.0
256,24.0,0.0
257,26.0,0.0
258,34.0,0.0
259,30.0,0.0
260,24.0,0.0
261,30.0,0.0
262,30.0,0.0
263,32.0,0.0
264,20.0,0.0
265,32.0,0.0
266,24.0,0.0
267,38.0,0.0
268,24.0,0.0
269,28.0,0.0
270,28.0,0.0
271,22.0,0.0
272,32.0,0.0
273,28.0,0.0
274,26.0,0.0
275,26.0,0.0
276,28.0,0.0
277,28.0,0.0
278,32.0,0.0
279,30.0,0.0
280,18.0,0.0
281,34.0,0.0
282,28.0,0.0
283,32.0,0.0
284,32.0,0.0
285,24.0,0.0
286,34.0,0.0
287,28.0,0.0
288,24.0,0.0
289,30.0,0.0
290,22.0,0.0
291,32.0,0.0
292,30.0,0.0
293,18.0,0.0
294,36.0,0.0
295,26.0,0.0
296,28.0,0.0
297,34.0,0.0
298,28.0,0.0
299,32.0,0.0
300,24.0,0.0
301,34.0,0.0
302,26.0,0.0
303,36.0,0.0
304,20.0,0.0
305,26.0,0.0
306,32.0,0.0
307,26.0,0.0
308,30.0,0.0
309,28.0,0.0
310,26.0,0.0
311,28.0,0.0
312,32.0,0.0
313,24.0,0.0
314,28.0,0.0
315,34.0,0.0
316,26.0,0.0
317,34.0,0.0
318,16.0,0.0
319,38.0,0.0
320,20.0,0.0
321,32.0,0.0
322,30.0,0.0
323,28.0,0.0
324,34.0,0.0
325,26.0,0.0
326,32.0,0.0
327,28.0,0.0
328,34.0,0.0
329,22.0,0.0
330,36.0,0.0
331,28.0,0.0
332,30.0,0.0
333,22.0,0.0
334,32.0,0.0
335,30.0,0.0
336,24.0,0.0
337,26.0,0.0
338,30.0,0.0
339,22.0,0.0
340,40.0,0.0
341,18.0,0.0
342,30.0,0.0
343,24.0,0.0
344,32.0,0.0
345,24.0,0.0
346,28.0,0.0
347,24.0,0.0
348,32.0,0.0
349,32.0,0.0
350,22.0,0.0
351,26.0,0.0
352,26.0,0.0
353,34.0,0.0
354,20.0,0.0
355,30.0,0.0
356,22.0,0.0
357,30.0,0.0
358,24.0,0.0
359,28.0,0.0
360,30.0,0.0
361,30.0,0.0
362,30.0,0.0
363,32.0,0.0
364,30.0,0.0
365,30.0,0.0
366,26.0,0.0
367,38.0,0.0
368,22.0,0.0
369,24.0,0.0
370,32.0,0.0
371,26.0,0.0
372,28.0,0.0
373,28.0,0.0
374,36.0,0.0
375,20.0,0.0
376,28.0,0.0
377,26.0,0.0
378,28.0,0.0
379,26.0,0.0
380,32.0,0.0
381,22.0,0.0
382,42.0,0.0
383,20.0,0.0
384,36.0,0.0
385,24.0,0.0
386,32.0,0.0
387,26.0,0.0
388,34.0,0.0
389,26.0,0.0
390,34.0,0.0
391,14.0,0.0
392,32.0,0.0
393,22.0,0.0
394,34.0,0.0
395,22.0,0.0
396,24.0,0.0
397,24.0,0.0
398,32.0,0.0
399,26.0,0.0
400,24.0,0.0
401,22.0,0.0
402,36.0,0.0
403,22.0,0.0
404,40.0,0.0
405,20.0,0.0
406,28.0,0.0
407,32.0,0.0
408,16.0,0.0
409,40.0,0.0
410,14.0,0.0
411,38.0,0.0
412,22.0,0.0
413,30.0,0.0
414,24.0,0.0
415,34.0,0.0
416,22.0,0.0
417,28.0,0.0
418,30.0,0.0
419,30.0,0.0
420,36.0,0.0
421,22.0,0.0
422,22.0,0.0
423,30.0,0.0
424,22.0,0.0
425,30.0,0.0
426,22.0,0.0
427,32.0,0.0
428,26.0,0.0
429,30.0,0.0
430,26.0,0.0
431,30.0,0.0
432,26.0,0.0
433,30.0,0.0
434,32.0,0.0
435,24.0,0.0
436,26.0,0.0
437,34.0,0.0
438,28.0,0.0
439,34.0,0.0
440,24.0,0.0
441,32.0,0.0
442,28.0,0.0
443,30.0,0.0
444,28.0,0.0
445,24.0,0.0
446,28.0,0.0
447,24.0,0.0
448,26.0,0.0
449,36.0,0.0
450,20.0,0.0
451,38.0,0.0
452,20.0,0.0
453,28.0,0.0
454,34.0,0.0
455,34.0,0.0
456,26.0,0.0
457,26.0,0.0
458,30.0,0.0
459,28.0,0.0
460,26.0,0.0
461,22.0,0.0
462,30.0,0.0
463,24.0,0.0
464,36.0,0.0
465,18.0,0.0
466,44.0,0.0
467,10.0,0.0
468,42.0,0.0
469,16.0,0.0
470,38.0,0.0
471,18.0,0.0
472,28.0,0.0
473,26.0,0.0
474,30.0,0.0
475,30.0,0.0
476,24.0,0.0
477,24.0,0.0
478,32.0,0.0
479,26.0,0.0
480,30.0,0.0
481,28.0,0.0
482,26.0,0.0
483,40.0,0.0
484,20.0,0.0
485,32.0,0.0
486,22.0,0.0
487,40.0,0.0
488,22.0,0.0
489,34.0,0.0
490,24.0,0.0
491,32.0,0.0
492,24.0,0.0
493,28.0,0.0
494,28.0,0.0
495,28.0,0.0
496,32.0,0.0
497,30.0,0.0
498,28.0,0.0
499,34.0,0.0
500,16.0,0.0
501,30.0,0.0
502,20.0,0.0
503,36.0,0.0
504,26.0,0.0
505,30.0,0.0
506,34.0,0.0
507,26.0,0.0
508,30.0,0.0
509,28.0,0.0
510,28.0,0.0
511,30.0,0.0
512,32.0,0.0
513,24.0,0.0
514,34.0,0.0
515,28.0,0.0
516,28.0,0.0
517,28.0,0.0
518,26.0,0.0
519,34.0,0.0
520,22.0,0.0
521,40.0,0.0
522,22.0,0.0
523,26.0,0.0
524,30.0,0.0
525,24.0,0.0
526,26.0,0.0
527,26.0,0.0
528,34.0,0.0
529,26.0,0.0
530,26.0,0.0
531,36.0,0.0
532,24.0,0.0
533,32.0,0.0
534,28.0,0.0
535,32.0,0.0
536,24.0,0.0
537,32.0,0.0
538,26.0,0.0
539,22.0,0.0
540,34.0,0.0
541,14.0,0.0
542,40.0,0.0
543,20.0,0.0
544,32.0,0.0
545,28.0,0.0
546,30.0,0.0
547,28.0,0.0
548,34.0,0.0
549,24.0,0.0
550,32.0,0.0
551,28.0,0.0
552,20.0,0.0
553,40.0,0.0
