#repetition,Firm0,Firm1
0,3,0
1,2,0
2,3,0
3,2,0
4,3,0
5,2,0
6,3,0
7,2,0
8,3,0
9,2,0
10,3,0
11,2,0
12,3,0
13,2,0
14,3,0
15,2,0
16,3,0
17,2,0
18,3,0
19,2,0
20,3,0
21,2,0
22,3,0
23,2,0
24,3,0
25,2,0
26,3,0
27,2,0
28,3,0
29,2,0
30,3,0
31,2,0
32,3,0
33,2,0
34,3,0
35,2,0
36,3,0
37,2,0
38,3,0
39,2,0
40,3,0
41,2,0
42,3,0
43,2,0
44,3,0
45,2,0
46,3,0
47,2,0
48,3,0
49,2,0
50,3,0
51,2,0
52,3,0
53,2,0
54,3,0
55,2,0
56,3,0
57,2,0
58,3,0
59,2,0
60,3,0
61,2,0
62,3,0
63,2,0
64,3,0
65,2,0
66,3,0
67,2,0
68,3,0
69,2,0
70,3,0
71,2,0
72,3,0
73,2,0
74,3,0
75,2,0
76,3,0
77,2,0
78,3,0
79,2,0
80,3,0
81,2,0
82,3,0
83,2,0
84,3,0
85,2,0
86,3,0
87,2,0
88,3,0
89,2,0
90,3,0
91,2,0
92,3,0
93,2,0
94,3,0
95,2,0
96,3,0
97,2,0
98,3,0
99,2,0
100,3,0
101,2,0
102,3,0
103,2,0
104,3,0
105,2,0
106,3,0
107,2,0
108,3,0
109,2,0
110,3,0
111,2,0
112,3,0
113,2,0
114,3,0
115,2,0
116,3,0
117,2,0
118,3,0
119,2,0
120,3,0
121,2,0
122,3,0
123,2,0
124,3,0
125,2,0
126,3,0
127,2,0
128,3,0
129,2,0
130,3,0
131,2,0
132,3,0
133,2,0
134,3,0
135,2,0
136,3,0
137,2,0
138,3,0
139,2,0
140,3,0
141,2,0
142,3,0
143,2,0
144,3,0
145,2,0
146,3,0
147,2,0
148,3,0
149,2,0
150,3,0
151,2,0
152,3,0
153,2,0
154,3,0
155,2,0
156,3,0
157,2,0
158,3,0
159,2,0
160,3,0
161,2,0
162,3,0
163,2,0
164,3,0
165,2,0
166,3,0
167,2,0
168,3,0
169,2,0
170,3,0
171,2,0
172,3,0
173,2,0
174,3,0
175,2,0
176,3,0
177,2,0
178,3,0
179,2,0
180,3,0
181,2,0
182,3,0
183,2,0
184,3,0
185,2,0
186,3,0
187,2,0
188,3,0
189,2,0
190,3,0
191,2,0
192,3,0
193,2,0
194,3,0
195,2,0
196,3,0
197,2,0
198,3,0
199,2,0
200,3,0
201,2,0
202,3,0
203,2,0
204,3,0
205,2,0
206,3,0
207,2,0
208,3,0
209,2,0
210,3,0
211,2,0
212,3,0
213,2,0
214,3,0
215,2,0
216,3,0
217,2,0
218,3,0
219,2,0
220,3,0
221,2,0
222,3,0
223,2,0
224,3,0
225,2,0
226,3,0
227,2,0
228,3,0
229,2,0
230,3,0
231,2,0
232,3,0
233,2,0
234,3,0
235,2,0
236,3,0
237,2,0
238,3,0
239,2,0
240,3,0
241,2,0
242,3,0
243,2,0
244,3,0
245,2,0
246,3,0
247,2,0
248,3,0
249,2,0
250,3,0
251,2,0
252,3,0
253,2,0
254,3,0
255,2,0
256,3,0
257,2,0
258,3,0
259,2,0
260,3,0
261,2,0
262,3,0
263,2,0
264,3,0
265,2,0
266,3,0
267,2,0
268,3,0
269,2,0
270,3,0
271,2,0
272,3,0
273,2,0
274,3,0
275,2,0
276,3,0
277,2,0
278,3,0
279,2,0
280,3,0
281,2,0
282,3,0
283,2,0
284,3,0
285,2,0
286,3,0
287,2,0
288,3,0
289,2,0
290,3,0
291,2,0
292,3,0
293,2,0
294,3,0
295,2,0
296,3,0
297,2,0
298,3,0
299,2,0
300,3,0
301,2,0
302,3,0
303,2,0
304,3,0
305,2,0
306,3,0
307,2,0
308,3,0
309,2,0
310,3,0
311,2,0
312,3,0
313,2,0
314,3,0
315,2,0
316,3,0
317,2,0
318,3,0
319,2,0
320,3,0
321,2,0
322,3,0
323,2,0
324,3,0
325,2,0
326,3,0
327,2,0
328,3,0
329,2,0
330,3,0
331,2,0
332,3,0
333,2,0
334,3,0
335,2,0
336,3,0
337,2,0
338,3,0
339,2,0
340,3,0
341,2,0
342,3,0
343,2,0
344,3,0
345,2,0
346,3,0
347,2,0
348,3,0
349,2,0
350,3,0
351,2,0
352,3,0
353,2,0
354,3,0
355,2,0
356,3,0
357,2,0
358,3,0
359,2,0
360,3,0
361,2,0
362,3,0
363,2,0
364,3,0
365,2,0
366,3,0
367,2,0
368,3,0
369,2,0
370,3,0
371,2,0
372,3,0
373,2,0
374,3,0
375,2,0
376,3,0
377,2,0
378,3,0
379,2,0
380,3,0
381,2,0
382,3,0
383,2,0
384,3,0
385,2,0
386,3,0
387,2,0
388,3,0
389,2,0
390,3,0
391,2,0
392,3,0
393,2,0
394,3,0
395,2,0
396,3,0
397,2,0
398,3,0
399,2,0
400,3,0
401,2,0
402,3,0
403,2,0
404,3,0
405,2,0
406,3,0
407,2,0
408,3,0
409,2,0
410,3,0
411,2,0
412,3,0
413,2,0
414,3,0
415,2,0
416,3,0
417,2,0
418,3,0
419,2,0
420,3,0
421,2,0
422,3,0
423,2,0
424,3,0
425,2,0
426,3,0
427,2,0
428,3,0
429,2,0
430,3,0
431,2,0
432,3,0
433,2,0
434,3,0
435,2,0
436,3,0
437,2,0
438,3,0
439,2,0
440,3,0
441,2,0
442,3,0
443,2,0
444,3,0
445,2,0
446,3,0
447,2,0
448,3,0
449,2,0
450,3,0
451,2,0
452,3,0
453,2,0
454,3,0
455,2,0
456,3,0
457,2,0
458,3,0
459,2,0
460,3,0
461,2,0
462,3,0
463,2,0
464,3,0
465,2,0
466,3,0
467,2,0
468,3,0
469,2,0
470,3,0
471,2,0
472,3,0
473,2,0
474,3,0
475,2,0
476,3,0
477,2,0
478,3,0
479,2,0
480,3,0
481,2,0
482,3,0
483,2,0
484,3,0
485,2,0
486,3,0
487,2,0
488,3,0
489,2,0
490,3,0
491,2,0
492,3,0
493,2,0
494,3,0
495,2,0
496,3,0
497,2,0
498,3,0
499,2,0
500,3,0
501,2,0
502,3,0
503,2,0
504,3,0
505,2,0
506,3,0
507,2,0
508,3,0
509,2,0
510,3,0
511,2,0
512,3,0
513,2,0
514,3,0
515,2,0
516,3,0
517,2,0
518,3,0
519,2,0
520,3,0
521,2,0
522,3,0
523,2,0
524,3,0
525,2,0
526,3,0
527,2,0
528,3,0
529,2,0
530,3,0
531,2,0
532,3,0
533,2,0
534,3,0
535,2,0
536,3,0
537,2,0
538,3,0
539,2,0
540,3,0
541,2,0
542,3,0
543,2,0
544,3,0
545,2,0
546,3,0
547,2,0
548,3,0
549,2,0
550,3,0
551,2,0
552,3,0
553,2,0
554,3,0
555,2,0
556,3,0
557,2,0
558,3,0
559,2,0
560,3,0
561,2,0
562,3,0
563,2,0
564,3,0
565,2,0
566,3,0
567,2,0
568,3,0
569,2,0
570,3,0
571,2,0
572,3,0
573,2,0
574,3,0
575,2,0
576,3,0
577,2,0
578,3,0
