#repetition,Firm0,Firm1
0,0,23
1,0,32
2,0,24
3,0,21
4,0,23
5,0,25
6,0,23
7,0,28
8,0,21
9,0,27
10,0,22
11,0,25
12,0,19
13,0,22
14,0,31
15,0,25
16,0,22
17,0,24
18,0,25
19,0,27
20,0,25
21,0,28
22,0,20
23,0,26
24,0,29
25,0,19
26,0,27
27,0,25
28,0,24
29,0,21
30,0,29
31,0,22
32,0,26
33,0,24
34,0,22
35,0,21
36,0,25
37,0,27
38,0,26
39,0,27
40,0,25
41,0,28
42,0,20
43,0,24
44,0,27
45,0,25
46,0,23
47,0,24
48,0,27
49,0,27
50,0,27
51,0,27
52,0,24
53,0,23
54,0,26
55,0,25
56,0,31
57,0,20
58,0,25
59,0,26
60,0,25
61,0,22
62,0,23
63,0,26
64,0,19
65,0,24
66,0,26
67,0,27
68,0,18
69,0,27
70,0,25
71,0,23
72,0,26
73,0,21
74,0,28
75,0,21
76,0,28
77,0,24
78,0,23
79,0,26
80,0,20
81,0,21
82,0,26
83,0,22
84,0,22
85,0,26
86,0,25
87,0,23
88,0,28
89,0,15
90,0,29
91,0,25
92,0,23
93,0,25
94,0,27
95,0,24
96,0,23
97,0,25
98,0,25
99,0,19
100,0,24
101,0,23
102,0,24
103,0,28
104,0,24
105,0,26
106,0,25
107,0,24
108,0,29
109,0,25
110,0,22
111,0,19
112,0,28
113,0,23
114,0,21
115,0,27
116,0,22
117,0,23
118,0,26
119,0,23
120,0,25
121,0,25
122,0,27
123,0,21
124,0,28
125,0,30
126,0,24
127,0,25
128,0,23
129,0,27
130,0,18
131,0,26
132,0,23
133,0,22
134,0,30
135,0,21
136,0,25
137,0,22
138,0,24
139,0,26
140,0,30
141,0,20
142,0,26
143,0,20
144,0,21
145,0,22
146,0,27
147,0,21
148,0,24
149,0,25
150,0,27
151,0,24
152,0,29
153,0,20
154,0,24
155,0,24
156,0,21
157,0,25
158,0,23
159,0,27
160,0,27
161,0,21
162,0,27
163,0,25
164,0,21
165,0,24
166,0,23
167,0,23
168,0,20
169,0,27
170,0,24
171,0,20
172,0,26
173,0,29
174,0,22
175,0,31
176,0,21
177,0,23
178,0,25
179,0,29
180,0,21
181,0,27
182,0,26
183,0,25
184,0,28
185,0,23
186,0,21
187,0,25
188,0,19
189,0,28
190,0,24
191,0,26
192,0,19
193,0,26
194,0,22
195,0,26
196,0,25
197,0,27
198,0,25
199,0,27
200,0,16
201,0,24
202,0,24
203,0,25
204,0,23
205,0,24
206,0,26
207,0,20
208,0,28
209,0,20
210,0,22
211,0,26
212,0,29
213,0,22
214,0,26
215,0,25
216,0,27
217,0,26
218,0,27
219,0,24
220,0,25
221,0,19
222,0,26
223,0,23
224,0,24
225,0,28
226,0,24
227,0,23
228,0,20
229,0,23
230,0,26
231,0,23
232,0,22
233,0,21
234,0,20
235,0,25
236,0,23
237,0,25
238,0,24
239,0,27
240,0,25
241,0,25
242,0,24
243,0,25
244,0,25
245,0,19
246,0,26
247,0,22
248,0,24
249,0,21
250,0,31
251,0,22
252,0,28
253,0,20
254,0,24
255,0,25
256,0,22
257,0,25
258,0,21
259,0,24
260,0,25
261,0,25
262,0,23
263,0,22
264,0,19
265,0,22
266,0,22
267,0,25
268,0,28
269,0,19
270,0,28
271,0,22
272,0,27
273,0,21
274,0,29
275,0,22
276,0,26
277,0,21
278,0,24
279,0,25
280,0,24
281,0,24
282,0,27
283,0,22
284,0,21
285,0,21
286,0,23
287,0,29
288,0,24
289,0,24
290,0,23
291,0,24
292,0,19
293,0,27
294,0,21
295,0,23
296,0,23
297,0,25
298,0,23
299,0,31
300,0,21
301,0,28
302,0,23
303,0,27
304,0,24
305,0,26
306,0,26
307,0,27
308,0,25
309,0,24
310,0,25
311,0,23
312,0,20
313,0,28
314,0,24
315,0,27
316,0,21
317,0,27
318,0,22
319,0,26
320,0,25
321,0,19
322,0,27
323,0,23
324,0,25
325,0,25
326,0,25
327,0,21
328,0,27
329,0,23
330,0,30
331,0,22
332,0,28
333,0,25
334,0,28
335,0,19
336,0,24
337,0,21
338,0,24
339,0,25
340,0,28
341,0,23
342,0,24
343,0,26
344,0,23
345,0,25
346,0,22
347,0,26
348,0,27
349,0,23
350,0,24
351,0,24
352,0,22
353,0,29
354,0,20
355,0,28
356,0,22
357,0,26
358,0,27
359,0,24
360,0,24
361,0,24
362,0,26
363,0,24
364,0,29
365,0,22
366,0,28
367,0,23
368,0,27
369,0,20
370,0,28
371,0,27
372,0,22
373,0,24
374,0,24
375,0,25
376,0,24
377,0,26
378,0,20
379,0,26
380,0,24
381,0,26
382,0,22
383,0,30
384,0,15
385,0,22
386,0,22
387,0,29
388,0,20
389,0,33
390,0,18
391,0,28
392,0,24
393,0,24
394,0,24
395,0,22
396,0,29
397,0,23
398,0,30
399,0,26
400,0,29
401,0,22
402,0,28
403,0,26
404,0,19
405,0,29
406,0,18
407,0,25
408,0,20
409,0,24
410,0,21
411,0,23
412,0,28
413,0,24
414,0,23
415,0,28
416,0,26
417,0,25
418,0,21
419,0,28
420,0,18
421,0,25
422,0,22
423,0,25
424,0,25
425,0,27
426,0,27
427,0,26
428,0,25
429,0,25
430,0,23
431,0,22
432,0,24
433,0,29
434,0,25
435,0,24
436,0,20
437,0,24
438,0,26
439,0,19
440,0,23
441,0,26
442,0,25
443,0,23
444,0,26
445,0,25
446,0,23
447,0,25
448,0,26
449,0,24
450,0,23
451,0,25
452,0,28
453,0,25
454,0,23
455,0,25
456,0,23
457,0,24
458,0,26
459,0,20
460,0,23
461,0,26
462,0,22
463,0,27
464,0,19
465,0,22
466,0,24
467,0,26
468,0,25
469,0,28
470,0,25
471,0,24
472,0,23
473,0,27
474,0,23
475,0,23
476,0,24
477,0,27
478,0,24
479,0,21
480,0,25
481,0,22
482,0,24
483,0,23
484,0,23
485,0,19
486,0,22
487,0,27
488,0,25
489,0,24
490,0,26
491,0,26
492,0,21
493,0,25
494,0,22
495,0,25
496,0,21
497,0,22
498,0,17
499,0,26
500,0,17
501,0,27
502,0,23
503,0,25
504,0,22
505,0,26
506,0,25
507,0,25
508,0,24
509,0,23
510,0,26
511,0,26
512,0,24
513,0,24
514,0,27
515,0,20
516,0,26
517,0,26
518,0,21
519,0,22
520,0,23
521,0,25
522,0,23
523,0,25
524,0,21
525,0,27
526,0,26
527,0,22
528,0,24
529,0,27
530,0,24
531,0,26
532,0,27
533,0,26
534,0,25
535,0,28
536,0,24
537,0,18
538,0,23
539,0,24
540,0,27
541,0,23
542,0,24
543,0,25
544,0,25
545,0,22
546,0,26
547,0,17
548,0,21
549,0,22
550,0,23
551,0,27
552,0,21
553,0,27
554,0,22
555,0,27
556,0,15
557,0,25
558,0,23
559,0,25
560,0,20
561,0,28
562,0,24
563,0,26
564,0,22
565,0,23
566,0,25
567,0,24
568,0,27
569,0,26
570,0,24
571,0,25
572,0,23
573,0,24
574,0,27
575,0,24
576,0,24
577,0,18
578,0,24
579,0,21
580,0,22
581,0,20
582,0,24
583,0,25
584,0,25
585,0,20
586,0,26
587,0,22
588,0,19
589,0,28
590,0,27
591,0,20
592,0,25
593,0,19
594,0,25
595,0,24
596,0,24
597,0,27
598,0,27
599,0,21
600,0,24
601,0,25
602,0,25
603,0,27
604,0,23
605,0,24
606,0,23
607,0,25
608,0,19
609,0,28
610,0,17
611,0,23
612,0,22
613,0,26
614,0,21
615,0,27
616,0,24
617,0,26
618,0,25
619,0,27
620,0,24
621,0,25
622,0,22
623,0,23
624,0,26
625,0,25
626,0,26
627,0,23
628,0,28
629,0,24
630,0,25
631,0,27
632,0,24
633,0,24
634,0,23
635,0,22
636,0,28
637,0,25
638,0,18
639,0,24
640,0,22
641,0,27
642,0,21
643,0,28
